日期,总客流,进站量,出站量,换乘量,流动量
2022-06-17,86432.0,21443.0,22165.0,64989.0,108597.0
2022-08-07,66820.0,15765.0,16257.0,51055.0,83077.0
2022-11-06,56796.0,12540.0,12870.0,44256.0,69666.0
2022-12-05,50237.0,12067.0,12919.0,38170.0,63156.0
2022-12-10,43516.0,9869.0,10202.0,33647.0,53718.0
2023-04-29,108172.0,19960.0,20571.0,88212.0,128743.0
2023-07-07,109195.0,26622.0,45001.0,82573.0,154196.0
2023-07-08,109931.0,29757.0,64870.0,80174.0,174801.0
2023-07-09,82729.0,18877.0,30502.0,63852.0,113231.0
2023-07-14,108811.0,26159.0,43980.0,82652.0,152791.0
2023-07-16,83161.0,18305.0,30558.0,64856.0,113719.0
2023-07-23,80160.0,17731.0,29608.0,62429.0,109768.0
2023-07-26,97273.0,23604.0,41031.0,73669.0,138304.0
2023-07-30,99751.0,28660.0,69203.0,71091.0,168954.0
2023-08-06,75034.0,16654.0,27391.0,58380.0,102425.0
2023-08-23,89784.0,20721.0,35878.0,69063.0,125662.0
2023-09-02,99308.0,26739.0,58884.0,72569.0,158192.0
2023-09-12,81368.0,19144.0,33386.0,62224.0,114754.0
2023-10-27,97040.0,21487.0,23092.0,75553.0,120132.0
2023-10-28,97871.0,21308.0,22500.0,76563.0,120371.0
2023-10-29,96392.0,23957.0,22527.0,72435.0,118919.0
2024-04-12,129891.0,34493.0,48139.0,95398.0,178030.0
2024-04-13,131446.0,36790.0,50091.0,94656.0,181537.0
2024-04-14,108339.0,27972.0,43781.0,80367.0,152120.0
2024-05-30,122249.0,44657.0,54565.0,77592.0,176814.0
2024-05-31,152385.0,54467.0,70036.0,97918.0,222421.0
2024-06-01,154469.0,55368.0,74849.0,99101.0,229318.0
2024-06-02,129090.0,47584.0,55274.0,81506.0,184364.0
2024-06-14,131542.0,40107.0,50963.0,91435.0,182505.0
2024-06-15,124451.0,36362.0,48265.0,88089.0,172716.0
2024-06-16,104671.0,30252.0,42043.0,74419.0,146714.0
2024-11-24,74617.0,16079.0,16054.0,58538.0,90671.0
2024-11-25,79368.0,18898.0,19490.0,60470.0,98858.0
2024-11-26,85871.0,20467.0,21167.0,65404.0,107038.0
2024-11-27,89858.0,22252.0,23022.0,67606.0,112880.0
2024-12-14,103253.0,22548.0,23445.0,80705.0,126698.0
2024-12-15,91464.0,20735.0,20855.0,70729.0,112319.0
2025-03-22,130362.0,37951.0,48740.0,92411.0,179102.0
2025-03-23,109554.0,32562.0,37604.0,76992.0,147158.0
2025-05-10,112852.0,31792.0,42751.0,81060.0,155603.0
2025-05-21,82638.0,19453.0,19971.0,63185.0,102609.0
2025-05-22,78436.0,18756.0,19749.0,59680.0,98185.0
2025-05-23,94912.0,21917.0,22853.0,72995.0,117765.0
2025-05-24,89518.0,19884.0,20464.0,69634.0,109982.0
2025-05-25,78803.0,17540.0,17120.0,61263.0,95923.0
2025-06-21,96503.0,27759.0,35002.0,68744.0,131505.0
2025-06-22,87984.0,26606.0,31560.0,61378.0,119544.0
2025-08-15,91485.0,21381.0,22692.0,70104.0,114177.0
2025-08-16,98297.0,29866.0,37014.0,68431.0,135311.0
2025-08-17,94240.0,29828.0,38626.0,64412.0,132866.0
2025-09-07,88174.0,25966.0,28230.0,62208.0,116404.0
2025-10-05,85168.0,21356.0,22221.0,63812.0,107389.0
2025-10-10,94170.0,28929.0,30817.0,65241.0,124987.0
2025-10-18,115277.0,32508.0,38475.0,82769.0,153752.0
2025-10-31,101035.0,23238.0,24180.0,77797.0,125215.0
2025-11-08,99904.0,28892.0,31272.0,71012.0,131176.0
2025-11-14,118508.0,32553.0,37921.0,85955.0,156429.0
2025-11-15,102878.0,22736.0,23598.0,80142.0,126476.0
2025-11-16,90357.0,20093.0,20338.0,70264.0,110695.0
2025-11-22,127394.0,37371.0,44541.0,90023.0,171935.0
2025-11-29,116947.0,31494.0,33878.0,85453.0,150825.0
2025-12-03,78678.0,18724.0,19328.0,59954.0,98006.0
2025-12-04,76768.0,17676.0,18634.0,59092.0,95402.0
2025-12-05,90218.0,19579.0,21097.0,70639.0,111315.0
2025-12-06,118426.0,34112.0,37316.0,84314.0,155742.0
2025-12-07,79837.0,18044.0,17835.0,61793.0,97672.0
2025-12-08,80003.0,19091.0,20065.0,60912.0,100068.0
2025-12-14,100808.0,29701.0,31361.0,71107.0,132169.0
2025-12-20,111534.0,32683.0,37872.0,78851.0,149406.0
2025-12-24,92517.0,27577.0,29558.0,64940.0,122075.0
