日期,年份,日期标识,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型
2022-12-31,2022,12-31,3,3号线,174848.0,99811.0,87469.0,75037.0,262317.0,1,元旦
2023-01-01,2023,01-01,3,3号线,146319.0,84400.0,78368.0,61919.0,224687.0,1,元旦
2023-01-02,2023,01-02,3,3号线,141477.0,81324.0,74578.0,60153.0,216055.0,1,元旦
2023-01-03,2023,01-03,3,3号线,182661.0,106265.0,101093.0,76396.0,283754.0,1,元旦
2023-12-31,2023,12-31,3,3号线,607414.0,343563.0,260463.0,263851.0,867877.0,1,元旦
2024-01-01,2024,01-01,3,3号线,486942.0,260394.0,269274.0,226548.0,756216.0,1,元旦
2024-01-02,2024,01-02,3,3号线,336407.0,187832.0,172781.0,148575.0,509188.0,1,元旦
2024-12-31,2024,12-31,3,3号线,575602.0,336923.0,294178.0,238679.0,869780.0,1,元旦
2025-01-01,2025,01-01,3,3号线,386615.0,252945.0,242594.0,133670.0,629209.0,1,元旦
2025-01-02,2025,01-02,3,3号线,307493.0,208462.0,192603.0,99031.0,500096.0,1,元旦
