线路名称,年份组,日期标识,客运量
1号线,2022,01-01,424767.0
1号线,2022,01-02,337626.0
1号线,2022,01-03,300259.0
1号线,2023,01-01,197165.0
1号线,2023,01-02,172095.0
1号线,2023,01-03,230789.0
1号线,2023,12-31,209447.0
1号线,2024,01-01,548880.0
1号线,2024,01-02,374004.0
1号线,2024,01-03,396631.0
1号线,2024,12-31,654470.0
1号线,2025,01-01,473378.0
1号线,2025,01-02,379431.0
1号线,2025,01-03,403462.0
1号线,2025,12-31,616166.0
2号线,2022,01-01,731395.0
2号线,2022,01-02,579778.0
2号线,2022,01-03,518505.0
2号线,2023,01-01,362850.0
2号线,2023,01-02,322501.0
2号线,2023,01-03,350823.0
2号线,2023,12-31,377349.0
2号线,2024,01-01,1063822.0
2号线,2024,01-02,606073.0
2号线,2024,01-03,596226.0
2号线,2024,12-31,1134803.0
2号线,2025,01-01,695949.0
2号线,2025,01-02,480402.0
2号线,2025,01-03,508830.0
2号线,2025,12-31,937816.0
3号线,2022,01-01,313684.0
3号线,2022,01-02,263122.0
3号线,2022,01-03,242345.0
3号线,2023,01-01,146319.0
3号线,2023,01-02,141477.0
3号线,2023,01-03,182661.0
3号线,2023,12-31,174848.0
3号线,2024,01-01,486942.0
3号线,2024,01-02,336407.0
3号线,2024,01-03,341457.0
3号线,2024,12-31,607414.0
3号线,2025,01-01,386615.0
3号线,2025,01-02,307493.0
3号线,2025,01-03,328261.0
3号线,2025,12-31,575602.0
4号线,2022,01-01,376954.0
4号线,2022,01-02,325107.0
4号线,2022,01-03,369101.0
4号线,2023,01-01,180528.0
4号线,2023,01-02,201032.0
4号线,2023,01-03,214775.0
4号线,2023,12-31,232265.0
4号线,2024,01-01,595340.0
4号线,2024,01-02,419007.0
4号线,2024,01-03,403740.0
4号线,2024,12-31,650864.0
4号线,2025,01-01,381493.0
4号线,2025,01-02,344601.0
4号线,2025,01-03,370608.0
4号线,2025,12-31,631630.0
5号线,2022,01-01,242714.0
5号线,2022,01-02,187861.0
5号线,2022,01-03,167330.0
5号线,2023,01-01,140635.0
5号线,2023,01-02,121004.0
5号线,2023,01-03,157363.0
5号线,2023,12-31,160734.0
5号线,2024,01-01,356097.0
5号线,2024,01-02,253334.0
5号线,2024,01-03,263111.0
5号线,2024,12-31,432025.0
5号线,2025,01-01,234482.0
5号线,2025,01-02,195288.0
5号线,2025,01-03,207838.0
5号线,2025,12-31,415515.0
6号线,2022,01-01,0.0
6号线,2022,01-02,0.0
6号线,2022,01-03,0.0
6号线,2023,01-01,174973.0
6号线,2023,01-02,174142.0
6号线,2023,01-03,236082.0
6号线,2023,12-31,213536.0
6号线,2024,01-01,545915.0
6号线,2024,01-02,452933.0
6号线,2024,01-03,468482.0
6号线,2024,12-31,655420.0
6号线,2025,01-01,470490.0
6号线,2025,01-02,418035.0
6号线,2025,01-03,436414.0
6号线,2025,12-31,789152.0
互联网平台,2022,01-01,0.0
互联网平台,2022,01-02,0.0
互联网平台,2022,01-03,0.0
互联网平台,2023,01-01,0.0
互联网平台,2023,01-02,0.0
互联网平台,2023,01-03,0.0
互联网平台,2023,12-31,0.0
互联网平台,2024,01-01,0.0
互联网平台,2024,01-02,0.0
互联网平台,2024,01-03,0.0
互联网平台,2024,12-31,0.0
互联网平台,2025,01-01,0.0
互联网平台,2025,01-02,0.0
互联网平台,2025,01-03,0.0
互联网平台,2025,12-31,0.0
磁浮快线,2022,01-01,9073.0
磁浮快线,2022,01-02,7760.0
磁浮快线,2022,01-03,9337.0
磁浮快线,2023,01-01,2215.0
磁浮快线,2023,01-02,3201.0
磁浮快线,2023,01-03,2786.0
磁浮快线,2023,12-31,3022.0
磁浮快线,2024,01-01,5654.0
磁浮快线,2024,01-02,5712.0
磁浮快线,2024,01-03,5324.0
磁浮快线,2024,12-31,5598.0
磁浮快线,2025,01-01,5181.0
磁浮快线,2025,01-02,4880.0
磁浮快线,2025,01-03,5292.0
磁浮快线,2025,12-31,5215.0
线网,2022,01-01,2098587.0
线网,2022,01-02,1701254.0
线网,2022,01-03,1606877.0
线网,2023,01-01,1204685.0
线网,2023,01-02,1135452.0
线网,2023,01-03,1375279.0
线网,2023,12-31,1371201.0
线网,2024,01-01,3633553.0
线网,2024,01-02,2464207.0
线网,2024,01-03,2492842.0
线网,2024,12-31,4188948.0
线网,2025,01-01,2665152.0
线网,2025,01-02,2141997.0
线网,2025,01-03,2274607.0
线网,2025,12-31,4018726.0
西环线,2024,01-01,30903.0
西环线,2024,01-02,16737.0
西环线,2024,01-03,17871.0
西环线,2024,12-31,48354.0
西环线,2025,01-01,17564.0
西环线,2025,01-02,11867.0
西环线,2025,01-03,13902.0
西环线,2025,12-31,47630.0
